% TABLE LEGEND
%  F1:  Maximum Fisher's discriminant ratio 
%  F1v: Directional-vector maximum Fisher's discriminant ratio 
%  F2:  Overlap of the per-class bounding boxes 
%  F3:  Maximum (individual) feature efficiency 
%  F4:  Collective feature efficiency (sum of each feature efficiency) 
%  L1:  Minimized sum of the error distance of a linear classifier (linear SMO) 
%  L2:  Training error of a linear classifier (linear SMO) 
%  L3:  Nonlinearity of a linear classifier (linear SMO) 
%  N1:  Fraction of points on the class boundary 
%  N2:  Ratio of average intra/inter class nearest neighbor distance 
%  N3:  Leave-one-out error rate of the one-nearest neighbor classifier 
%  N4:  Nonlinearity of the one-nearest neighbor classifier 
%  T1:  Fraction of maximum covering spheres 
%  T2:  Average number of points per dimension 

@relation combinador_ensemble

@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute AVERAGE_RULE {0,1}
@attribute PRODUCT_RULE {0,1}
@attribute MAJORITY_VOTING_RULE {0,1}
@attribute MIN_RULE {0,1}
@attribute MAX_RULE {0,1}

@data
299.5,86024.1666666667,125,858.1666666667,986.5833333333,272.0833333333,154.6666666667,404.625,32.875,134.5833333333,6.5416666667,36.75,995.5833333333,3275,0,1,0,0,0
286,91781.6666666667,166.6666666667,859.5833333333,970.9583333333,290.6666666667,195.2916666667,393.0833333333,29.8333333333,143.2083333333,9.9583333333,15.2083333333,995.7916666667,3275,0,1,0,0,0
366,89242.3333333333,208.3333333333,854.75,993.0416666667,345.5833333333,237.2083333333,373.7916666667,32.5416666667,169.8333333333,11.3333333333,53.5416666667,995.9166666667,3275,0,0,0,1,0
302.9166666667,103801.166666667,125,842.25,962.4166666667,267.6666666667,154.4166666667,403.1666666667,31.3333333333,156.2916666667,9.9166666667,10.7916666667,991.3333333333,3275,0,0,0,1,0
287.375,92261.25,41.6666666667,857.125,956.75,179.625,71.9166666667,450.6666666667,30.7916666667,162.5,7.6666666667,13.625,997.4583333333,3275,0,0,0,1,0
284.25,152534.666666667,83.3333333333,855.6666666667,943.375,222.6666666667,114.7916666667,434.125,34.375,180.8333333333,8.6666666667,19.75,987.8333333333,3275,0,1,0,0,0
302.9583333333,83171.25,125,867.7083333333,959.2916666667,262.9166666667,155.5416666667,409.9583333333,27.2083333333,119.875,6.1666666667,10.9583333333,993.5416666667,3275,0,1,0,1,0
3695.1428571429,15124.7142857143,142.8571428571,568.7142857143,994.2857142857,444.8571428571,285.7142857143,428.4285714286,109.4285714286,143.7142857143,33.5714285714,169.8571428571,997.8571428571,8200,0,1,0,0,0
4117.4285714286,12530.7142857143,143.4957961429,575.5714285714,999.2857142857,445.2857142857,285.5714285714,428.4285714286,117,147.8571428571,41.8571428571,152.8571428571,998.5714285714,8200,0,1,0,0,0
4169.2857142857,15518.2857142857,142.8571428571,598,981.1428571429,448.7142857143,285.8571428571,428.4285714286,127.4285714286,162,44.5714285714,167.8571428571,998.5714285714,8200,0,0,0,1,0
4869.1428571429,16006.8571428571,143.4899652857,604.8571428571,994.2857142857,437.8571428571,285.7142857143,428.4285714286,122.7142857143,125.7142857143,34.8571428571,166,1000,8200,0,1,0,0,0
3996.5714285714,15618.2857142857,142.8571428571,557.4285714286,994.4285714286,445,285.7142857143,428.4285714286,122.7142857143,159.5714285714,34.8571428571,141.5714285714,999.2857142857,8200,0,1,0,1,0
3347.5714285714,15635.5714285714,142.8571428571,585.4285714286,998.5714285714,437.2857142857,285.8571428571,428.4285714286,114.1428571429,127,27.8571428571,155.2857142857,1000,8200,0,1,0,1,0
3500.5714285714,16107.8571428571,142.8571428571,569.8571428571,988.1428571429,445.1428571429,285.5714285714,428.4285714286,111.5714285714,126.8571428571,32,140.8571428571,1000,8200,0,0,0,1,0
